production_budget_usd,worldwide_gross_usd
400000000,2797800564
379000000,1045713802
365000000,1395316979
306000000,2065478084
300000000,2044540523
300000000,960996492
300000000,655945209
300000000,879500760
275000000,1072944222
275000000,393151347
263700000,282778100
263000000,872395091
260000000,1654381934
260000000,585574317
258000000,894860230
250000000,1151918521
250000000,930673167
250000000,960238087
250000000,943328905
250000000,1236703796
237000000,2845899541
232000000,391081192
230000000,1082228107
230000000,794861794
230000000,591692078
225000000,1515100211
225000000,1066179725
225000000,667999518
225000000,417341288
225000000,260002115
220000000,757890267
220000000,313477717
217000000,602893340
215000000,1669979967
215000000,654213485
210000000,836519699
210000000,1104054072
210000000,459260946
210000000,322459006
207000000,550517357
205000000,367262558
205000000,361963200
200000000,1336494321
200000000,2207986545
200000000,1332539889
200000000,1242805359
200000000,1055135598
200000000,1025006125
200000000,1073080329
200000000,1068879522
200000000,1215392272
200000000,869113101
200000000,794697557
200000000,1025491110
200000000,1110526981
200000000,1017003568
200000000,743455810
200000000,490359051
200000000,747862775
200000000,708996336
200000000,560155383
200000000,760372404
200000000,399866199
200000000,757677748
200000000,651280475
200000000,365491792
200000000,219535492
200000000,336359676
200000000,246356895
200000000,127912438
200000000,165960030
195000000,1123794079
195000000,409953905
195000000,197687603
190000000,1517179709
190000000,467381584
190000000,531514650
190000000,353640419
180000000,180047784
180000000,215098356
179000000,181982519
178000000,787176729
178000000,542537546
178000000,527370715
178000000,367028980
175000000,1129727388
175000000,953554418
175000000,855038387
175000000,880166350
175000000,746846894
175000000,731463377
175000000,798237597
175000000,529290830
175000000,381687380
175000000,383541369
175000000,302469017
175000000,221229335
175000000,405760225
175000000,174131329
175000000,264246220
175000000,251402490
175000000,139630336
175000000,151716815
170000000,1308334005
170000000,770882395
170000000,621156389
170000000,714401889
170000000,710644566
170000000,312719437
170000000,401021746
170000000,433058296
170000000,300150546
170000000,353166307
170000000,383299915
170000000,206627518
170000000,401900040
170000000,276928112
165000000,756244673
165000000,676354481
165000000,649683252
165000000,494870992
165000000,496511521
165000000,652190396
165000000,384169424
163000000,176038324
160000000,1255080655
160000000,1131219645
160000000,1143758700
160000000,807330936
160000000,728582465
160000000,648986787
160000000,789300444
160000000,529076069
160000000,355408305
160000000,329631958
160000000,217986320
160000000,181674817
160000000,438899824
156000000,122603824
155000000,418186950
155000000,415590000
155000000,432150894
155000000,290930148
155000000,167297191
152000000,489592267
151500000,449239853
151000000,708272592
150000000,1447244586
150000000,818058221
150000000,1267646247
150000000,1005954958
150000000,940743940
150000000,891320084
150000000,738576929
150000000,585532684
150000000,636155760
150000000,319713881
150000000,287594577
150000000,292817841
150000000,328015029
150000000,305270083
150000000,195080579
150000000,238202668
150000000,205440387
150000000,142634358
150000000,334486852
150000000,151525973
150000000,39549758
149000000,179357126
145000000,746921271
145000000,694713230
145000000,614586270
145000000,448191819
145000000,269806430
145000000,306900902
145000000,121645390
144000000,229008658
142000000,431942139
140000000,654310819
140000000,386839614
140000000,554600000
140000000,441767803
140000000,370569776
140000000,521170825
140000000,285400000
140000000,375740705
140000000,456810575
140000000,203018919
140000000,268314513
140000000,199646680
140000000,166623705
140000000,138836756
139000000,821706375
138000000,186976250
138000000,76416746
137500000,265573859
137000000,245031679
137000000,85131830
136200000,829724737
135000000,573068425
135000000,532938302
135000000,361730660
135000000,245724600
135000000,212912137
135000000,286896578
135000000,245328374
135000000,157956466
135000000,164920076
132900000,170024300
132000000,606836535
132000000,366942531
130000000,864868047
130000000,789961033
130000000,444043396
130000000,623144660
130000000,631910531
130000000,518858449
130000000,385997896
130000000,348901032
130000000,554987477
130000000,321887208
130000000,273271982
130000000,492846291
130000000,290650494
130000000,352831065
130000000,373993951
130000000,251499665
130000000,215080810
130000000,79076678
129000000,522587135
127500000,689420051
127500000,356148063
127000000,614202315
125000000,107360936
125000000,211856088
125000000,240759682
125000000,61642798
125000000,61698899
123000000,345445403
120000000,549588516
120000000,328711434
120000000,416168316
120000000,289480691
120000000,619310368
120000000,229545589
120000000,427947217
120000000,227163273
120000000,286192091
120000000,287916633
120000000,142531552
120000000,166000000
120000000,242981799
120000000,107212751
120000000,167849187
120000000,93394462
120000000,163018913
120000000,49628177
117000000,258751370
116000000,853530899
115000000,1027044677
115000000,848998877
115000000,656695615
115000000,560483719
115000000,416456852
115000000,178200000
115000000,165149302
115000000,77628265
113500000,132999811
112000000,232017848
111000000,289838913
110000000,786455570
110000000,689742192
110000000,579446407
110000000,486124090
110000000,456258539
110000000,563749323
110000000,382288147
110000000,295075882
110000000,362989076
110000000,339504276
110000000,215300000
110000000,330780051
110000000,208370892
110000000,302239672
110000000,229155503
110000000,295986876
110000000,263880341
110000000,253020464
110000000,177241171
110000000,348547523
110000000,172022517
110000000,152364370
110000000,127983283
110000000,76482461
110000000,150468000
110000000,218674938
110000000,167910690
110000000,72004159
109000000,133818283
109000000,87683966
108000000,655194200
106000000,119266661
105000000,348629585
105000000,298815224
105000000,270997378
105000000,269065678
105000000,402156682
105000000,10364769
104000000,408803696
103300000,232643008
103000000,457683805
103000000,362000072
103000000,133401882
100000000,234400000
100000000,325500000
100000000,169630573
100000000,311979256
100000000,99123656
100000000,249488115
100000000,243388614
100000000,278731369
100000000,212026975
100000000,165139629
100000000,96150482
100000000,145395745
100000000,171377916
100000000,126151409
100000000,139716717
100000000,121100000
100000000,69548641
100000000,95255485
100000000,115112118
100000000,82078046
100000000,209461378
100000000,91800000
100000000,97523020
100000000,220796009
100000000,126704591
100000000,75486351
100000000,89693309
100000000,103039258
100000000,59918422
100000000,85480271
100000000,19548278
100000000,7094995
100000000,98227017
99000000,250091610
99000000,190131036
99000000,85210012
98000000,435040395
97600000,224418748
97000000,183124621
97000000,238521247
95000000,534551353
95000000,879765137
95000000,159691085
95000000,294680778
95000000,223050874
95000000,104907746
95000000,165720921
95000000,263898761
95000000,65700000
95000000,94894448
95000000,91669648
95000000,108874967
94000000,936094852
94000000,1120224046
94000000,919148764
94000000,273330185
94000000,404561724
93000000,891276824
93000000,365900000
93000000,470986200
92500000,162839667
92000000,631441092
92000000,304249198
92000000,23911362
92000000,18517322
91000000,187861183
90000000,961812351
90000000,587790539
90000000,511358276
90000000,347425832
90000000,498438212
90000000,424536881
90000000,886686817
90000000,375703700
90000000,288693989
90000000,304978999
90000000,487519809
90000000,377312380
90000000,289660619
90000000,169400000
90000000,106000000
90000000,273477501
90000000,87420776
90000000,203653524
90000000,120100000
90000000,140900000
90000000,65716126
90000000,63356133
90000000,139877913
90000000,10551417
90000000,20466016
88000000,495700000
88000000,105021488
88000000,159487563
87500000,333132750
87000000,350100280
86000000,148715342
85000000,427230516
85000000,385000317
85000000,450728529
85000000,311001124
85000000,315268353
85000000,359347833
85000000,299477886
85000000,276014965
85000000,378659142
85000000,363664533
85000000,340384141
85000000,207884401
85000000,185708462
85000000,311744465
85000000,224614744
85000000,250649836
85000000,191932158
85000000,150422946
85000000,66941559
85000000,173613482
85000000,205190324
85000000,157794205
85000000,161510853
85000000,96971293
85000000,137298489
85000000,80831893
85000000,148947564
85000000,345033359
85000000,44650003
85000000,113026383
85000000,78353508
85000000,78948765
85000000,113487912
85000000,83080084
85000000,48762793
85000000,74120792
85000000,35681080
84000000,435903708
84000000,276294164
84000000,166307945
84000000,141507355
82500000,237685089
82500000,143985708
82500000,222640812
82500000,160388063
82000000,191558505
82000000,268268174
82000000,201852140
82000000,96024898
81000000,484468608
80000000,677923379
80000000,586764305
80000000,457697994
80000000,310570560
80000000,469500298
80000000,266824291
80000000,446272835
80000000,416385488
80000000,343397247
80000000,245800000
80000000,250180384
80000000,210315681
80000000,213682073
80000000,158926474
80000000,170805525
80000000,237370350
80000000,142783718
80000000,164800000
80000000,106515310
80000000,147080413
80000000,69618634
80000000,136047317
80000000,96135872
80000000,181038616
80000000,131159306
80000000,100378271
80000000,98983590
80000000,71485043
80000000,50632037
80000000,135432019
80000000,141475336
80000000,58270391
80000000,119668350
80000000,98341932
80000000,105299638
80000000,101371017
80000000,99010667
80000000,123368842
80000000,66554547
80000000,158908290
80000000,130818912
80000000,108469033
80000000,29725663
80000000,54540662
80000000,56984219
80000000,26703184
80000000,86787530
80000000,69131860
80000000,20841123
80000000,33463969
80000000,113325743
80000000,40147042
80000000,6300451
79300000,986214868
79000000,318146162
79000000,150519217
78000000,317668058
78000000,274392649
78000000,206455420
78000000,108086731
78000000,179265204
78000000,43957541
77500000,102028919
77000000,190376181
76000000,975216835
76000000,236410607
76000000,69845011
76000000,35129610
75000000,885302500
75000000,817400878
75000000,514602427
75000000,632483611
75000000,1032596894
75000000,618638999
75000000,651899282
75000000,556559566
75000000,272223000
75000000,371741123
75000000,296872367
75000000,342416460
75000000,336069511
75000000,196320329
75000000,392879661
75000000,202822861
75000000,342769200
75000000,155708695
75000000,197504758
75000000,77636443
75000000,219519367
75000000,50409753
75000000,36751979
75000000,34009180
75000000,14623082
75000000,30626690
75000000,5409517
75000000,16286699
74000000,1159631140
74000000,311013181
73243106,248099143
73000000,162870525
73000000,352327887
73000000,103891409
73000000,50168294
72500000,527071022
72500000,109362966
72500000,71880305
72500000,86802457
72000000,176101721
72000000,209045244
72000000,96947540
72000000,54616869
72000000,37306334
72000000,62176754
71682975,257641634
71500000,294156605
70702619,408250578
70000000,935253978
70000000,461630558
70000000,443483213
70000000,469566806
70000000,351500000
70000000,310138178
70000000,267200000
70000000,297718711
70000000,308700000
70000000,316915264
70000000,300854823
70000000,239813888
70000000,207154748
70000000,175807183
70000000,207068340
70000000,202726605
70000000,250700000
70000000,172878928
70000000,213463976
70000000,172543519
70000000,156815529
70000000,114658262
70000000,158702748
70000000,183353431
70000000,117800000
70000000,123954323
70000000,131011757
70000000,160379930
70000000,122737201
70000000,220241723
70000000,94973540
70000000,54243441
70000000,137431619
70000000,70546865
70000000,88933562
70000000,116625798
70000000,137022245
70000000,61031932
70000000,131445884
70000000,49730854
70000000,69792704
70000000,60279822
70000000,69157016
70000000,58757178
70000000,49252761
70000000,103735965
70000000,65409046
70000000,19870567
70000000,33076815
70000000,25852508
68000000,60265197
68000000,54462971
67500000,350976753
67500000,118556530
67500000,137489730
67000000,44612280
67000000,18115927
67000000,25357771
66000000,211700000
66000000,189176423
66000000,194169619
65000000,485035085
65000000,374105123
65000000,273346281
65000000,386116343
65000000,335802271
65000000,465377200
65000000,527103195
65000000,438420442
65000000,172825854
65000000,261400000
65000000,250800000
65000000,163527824
65000000,232585748
65000000,211739043
65000000,128107642
65000000,262758310
65000000,233700000
65000000,128874043
65000000,139829625
65000000,255000000
65000000,137768975
65000000,148345997
65000000,163295654
65000000,69688384
65000000,141205169
65000000,180148897
65000000,163307397
65000000,104264617
65000000,156974557
65000000,168065700
65000000,131353165
65000000,48164150
65000000,43545364
65000000,221297061
65000000,240647629
65000000,152012772
65000000,39017984
65000000,100820947
65000000,72516819
65000000,33447612
65000000,62761005
65000000,58545540
65000000,38253433
65000000,56824633
65000000,41636243
65000000,74575290
65000000,39194264
65000000,17218916
65000000,40650842
65000000,21774432
65000000,10014234
65000000,26670920
65000000,122519874
64000000,101636047
64000000,63200000
63700000,133603463
63000000,1045573035
63000000,296338663
63000000,188494082
63000000,68310140
63000000,25052000
62000000,207500000
62000000,127630030
62000000,107822813
62000000,152616451
62000000,40159017
62000000,18708848
60000000,149705852
60000000,218613188
60000000,217602967
60000000,200700000
60000000,199043309
60000000,152457863
60000000,165890634
60000000,196439693
60000000,170200225
60000000,157670733
60000000,135015330
60000000,206598789
60000000,217370736
60000000,130968579
60000000,124715863
60000000,137551594
60000000,100230832
60000000,186883563
60000000,126037057
60000000,102332848
60000000,165048228
60000000,252091016
60000000,90558582
60000000,162778384
60000000,195194085
60000000,71719931
60000000,87123569
60000000,129832389
60000000,99823958
60000000,159946489
60000000,175863783
60000000,57833603
60000000,56709981
60000000,101134059
60000000,108119662
60000000,159356941
60000000,98819789
60000000,100645801
60000000,90482317
60000000,111898741
60000000,113461527
60000000,104429625
60000000,131377412
60000000,104324083
60000000,101292343
60000000,70893782
60000000,160700000
60000000,95538560
60000000,68336997
60000000,104100903
60000000,197578586
60000000,105703325
60000000,57604723
60000000,82812456
60000000,67312826
60000000,82150183
60000000,108996113
60000000,81079566
60000000,78481410
60000000,124514011
60000000,88832210
60000000,36850101
60000000,78080697
60000000,47818913
60000000,121327628
60000000,33956608
60000000,32983332
60000000,47371191
60000000,62599159
60000000,54994757
60000000,38522450
60000000,75965567
60000000,39235486
60000000,30317425
60000000,84154026
60000000,147985373
60000000,71073932
60000000,26673953
60000000,80767884
60000000,49473093
59000000,87527651
59000000,28296983
58000000,784157111
58000000,547326372
58000000,158893300
58000000,188715611
58000000,87100000
58000000,50365498
58000000,100687083
58000000,93672764
58000000,59431365
58000000,41348628
58000000,100929666
58000000,80480566
58000000,31627370
57500000,415247258
57500000,295874190
57500000,58879681
57000000,153007424
57000000,149217355
57000000,104364680
57000000,38329114
57000000,62097495
56200000,212721142
56000000,195484552
56000000,198006880
56000000,47856383
56000000,359295591
55000000,1072507517
55000000,679838260
55000000,362605033
55000000,893423212
55000000,366784257
55000000,330425040
55000000,307311093
55000000,347100000
55000000,300200000
55000000,273814019
55000000,381367046
55000000,220648184
55000000,174463257
55000000,232354205
55000000,351767147
55000000,192903624
55000000,371985018
55000000,282300000
55000000,152269033
55000000,163838217
55000000,159387195
55000000,214392904
55000000,212200000
55000000,198750909
55000000,252780166
55000000,87473024
55000000,196565669
55000000,176469428
55000000,189624452
55000000,98699769
55000000,153535982
55000000,63408614
55000000,149022650
55000000,71189835
55000000,122079192
55000000,110387072
55000000,158500000
55000000,129075270
55000000,153770052
55000000,79312301
55000000,151947179
55000000,77548122
55000000,70692101
55000000,90552675
55000000,38564422
55000000,113805580
55000000,67130045
55000000,47213095
55000000,34105207
55000000,63537164
55000000,43980363
55000000,43070915
54000000,66772386
54000000,50719373
54000000,7126002
53012938,107190108
53000000,109848461
53000000,131159781
53000000,98837872
53000000,139801096
53000000,179199536
53000000,54207112
53000000,63657941
53000000,50187789
53000000,22852487
52500000,134612435
52000000,355612291
52000000,603604074
52000000,205727307
52000000,217569328
52000000,110400000
52000000,75997067
52000000,97709034
52000000,47407635
52000000,53139168
52000000,26922492
51000000,149270999
51000000,118583844
51000000,99624873
51000000,46815807
50200000,126931325
50000000,687557727
50000000,491812794
50000000,556016627
50000000,331333876
50000000,390500000
50000000,273552592
50000000,241504989
50000000,314111923
50000000,202173000
50000000,217194805
50000000,172246223
50000000,257972745
50000000,171269535
50000000,257805243
50000000,213591522
50000000,347015047
50000000,178503788
50000000,223564608
50000000,173453994
50000000,225990976
50000000,222383055
50000000,159745279
50000000,238059569
50000000,128402901
50000000,185798265
50000000,216564840
50000000,147142328
50000000,179769457
50000000,161626121
50000000,152022333
50000000,186450317
50000000,161941727
50000000,118729073
50000000,111300835
50000000,208094550
50000000,96469187
50000000,130214162
50000000,190023573
50000000,105103784
50000000,117211892
50000000,144110682
50000000,88316835
50000000,156399644
50000000,71052604
50000000,236799211
50000000,214949716
50000000,146195159
50000000,104488383
50000000,69411370
50000000,119114494
50000000,263894551
50000000,39778599
50000000,69425966
50000000,38590458
50000000,62209892
50000000,49842431
50000000,59596747
50000000,46112640
50000000,34645374
50000000,89895930
50000000,113309743
50000000,108660270
50000000,56643267
50000000,83306268
50000000,36976336
50000000,55348693
50000000,52987754
50000000,80583311
50000000,27100030
50000000,64477051
50000000,42598498
50000000,71561644
50000000,26199517
50000000,53850527
50000000,25426861
50000000,40119848
50000000,56890649
50000000,34806726
50000000,31333917
50000000,53956480
50000000,26121638
50000000,35380918
50000000,41642166
50000000,23237252
50000000,42002029
50000000,22099706
50000000,28920188
50000000,60282876
50000000,41982227
50000000,56077088
50000000,16581575
50000000,14271297
50000000,26097497
50000000,41042583
50000000,10561038
50000000,10359006
50000000,23574057
50000000,9812870
50000000,12660287
50000000,8374062
50000000,45285890
50000000,37472651
50000000,6626115
50000000,6291602
50000000,727714822
50000000,9693851
50000000,5983043
50000000,8004221
50000000,1250617
50000000,26387039
50000000,15505922
49000000,117419117
49000000,72689126
49000000,105002056
49000000,20423389
49000000,71004627
48000000,474171806
48000000,248218486
48000000,208300000
48000000,196308367
48000000,327656424
48000000,122266018
48000000,124304264
48000000,119736188
48000000,151463090
48000000,107752036
48000000,112610386
48000000,86607223
48000000,71171825
46000000,298923419
46000000,160648493
46000000,150000000
46000000,113622499
46000000,113402302
46000000,100833145
46000000,4408636
45500000,36180824
45000000,302710615
45000000,363095319
45000000,377807404
45000000,358500000
45000000,155200000
45000000,213420951
45000000,185736412
45000000,243180937
45000000,187995859
45000000,122071435
45000000,174807445
45000000,117615211
45000000,160971922
45000000,178100000
45000000,155931301
45000000,104505362
45000000,174278214
45000000,90523726
45000000,141189101
45000000,131237688
45000000,76665507
45000000,135808837
45000000,66790248
45000000,136998907
45000000,113417762
45000000,68406338
45000000,113916474
45000000,246821053
45000000,58617334
45000000,170362581
45000000,115097874
45000000,75854588
45000000,72359917
45000000,55842724
45000000,102746214
45000000,149871103
45000000,48563556
45000000,82513490
45000000,94215000
45000000,127990741
45000000,57697426
45000000,43343247
45000000,65595141
45000000,35627222
45000000,61453420
45000000,71856239
45000000,49610898
45000000,161735791
45000000,27449336
45000000,59551283
45000000,29367143
45000000,79604820
45000000,70216497
45000000,43100570
45000000,112006296
45000000,36404841
45000000,28363146
45000000,20133326
45000000,29406132
45000000,32952995
45000000,17220599
45000000,17492014
45000000,65532491
45000000,18120267
45000000,46598133
45000000,34668249
45000000,41467606
45000000,21544732
45000000,11203026
45000000,13086137
45000000,37321081
45000000,164640401
43000000,63078756
43000000,34983342
43000000,46414530
42500000,76347393
42000000,270340892
42000000,202812429
42000000,363718196
42000000,218786590
42000000,227793915
42000000,173044410
42000000,131052444
42000000,138708527
42000000,71000000
42000000,57852177
42000000,73239258
42000000,63781100
42000000,41267469
42000000,91678442
42000000,56438555
42000000,156167015
42000000,41926605
42000000,36197221
42000000,56331864
42000000,60437727
42000000,20844907
42000000,66787173
42000000,49621440
42000000,8514325
42000000,4408420
42000000,18821576
41000000,245768384
41000000,192137020
41000000,100622586
41000000,22108977
41000000,7684524
40000000,672806292
40000000,283218368
40000000,351774938
40000000,325674995
40000000,570794950
40000000,312604801
40000000,314709717
40000000,257858943
40000000,190212113
40000000,457507776
40000000,149804632
40000000,331971881
40000000,177835231
40000000,167851995
40000000,152266007
40000000,132440066
40000000,310399793
40000000,224922135
40000000,131516178
40000000,181053657
